Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;CE;SOBRAL;GLORIMAR PETROLEO E LUBRIFICANTES LTDA; 01.488.905/0001-15;AVENIDA DOM JOSE;1449;;CENTRO;62011-280;DIESEL;04/07/2017;3,07;2,687;R$ / litro;RAIZEN
NE;CE;SOBRAL;GLORIMAR PETROLEO E LUBRIFICANTES LTDA; 01.488.905/0001-15;AVENIDA DOM JOSE;1449;;CENTRO;62011-280;DIESEL S10;04/07/2017;3,149;2,7988;R$ / litro;RAIZEN
NE;CE;SOBRAL;AUTO POSTO APRAZIVEL LTDA; 00.422.849/0001-53;RODOVIA BR 222;S/N;KM 248;SANTA CRUZ DO BANABUIU;00000-000;GASOLINA;04/07/2017;3,79;3,312;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;AUTO POSTO APRAZIVEL LTDA; 00.422.849/0001-53;RODOVIA BR 222;S/N;KM 248;SANTA CRUZ DO BANABUIU;00000-000;DIESEL;04/07/2017;3,09;2,653;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;AUTO POSTO APRAZIVEL LTDA; 00.422.849/0001-53;RODOVIA BR 222;S/N;KM 248;SANTA CRUZ DO BANABUIU;00000-000;DIESEL S10;04/07/2017;3,14;2,756;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO PETROMINAS LTDA.; 09.205.835/0001-52;SHCS SQ 413 BLOCO A-PLL 01;S/N;;ASA SUL;70296-010;GASOLINA;04/07/2017;3,699;3,0204;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;FRATELLI POSTO DE COMBUSTIVEIS LTDA; 08.884.038/0001-86;QUADRA SHCN SQ 303 BLOCO A S/N PLL;S/N;;ASA NORTE;70735-010;GASOLINA;04/07/2017;3,149;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;FRATELLI POSTO DE COMBUSTIVEIS LTDA; 08.884.038/0001-86;QUADRA SHCN SQ 303 BLOCO A S/N PLL;S/N;;ASA NORTE;70735-010;ETANOL;04/07/2017;2,99;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;FRATELLI POSTO DE COMBUSTIVEIS LTDA; 08.884.038/0001-86;QUADRA SHCN SQ 303 BLOCO A S/N PLL;S/N;;ASA NORTE;70735-010;DIESEL S10;04/07/2017;3,389;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;SMAFF COMBUSTIVEIS LTDA; 05.662.975/0001-07;SETOR TERMINAL NORTE CONJUNTO D BLOCO 01;S/N;POSTO DE COMBUSTIVEIS;ASA NORTE;70770-100;GASOLINA;04/07/2017;3,449;;R$ / litro;RAIZEN
CO;DF;BRASILIA;SMAFF COMBUSTIVEIS LTDA; 05.662.975/0001-07;SETOR TERMINAL NORTE CONJUNTO D BLOCO 01;S/N;POSTO DE COMBUSTIVEIS;ASA NORTE;70770-100;ETANOL;04/07/2017;3,099;;R$ / litro;RAIZEN
CO;DF;BRASILIA;SMAFF COMBUSTIVEIS LTDA; 05.662.975/0001-07;SETOR TERMINAL NORTE CONJUNTO D BLOCO 01;S/N;POSTO DE COMBUSTIVEIS;ASA NORTE;70770-100;DIESEL S10;04/07/2017;3,299;;R$ / litro;RAIZEN
CO;DF;BRASILIA;POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA; 04.110.106/0001-07;QI-QUADRA INTERNA 01;S/N;LOTES 79,81 E 83;TAGUATINGA;72135-010;GASOLINA;04/07/2017;3,49;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA; 04.110.106/0001-07;QI-QUADRA INTERNA 01;S/N;LOTES 79,81 E 83;TAGUATINGA;72135-010;ETANOL;04/07/2017;3,219;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA; 04.110.106/0001-07;QI-QUADRA INTERNA 01;S/N;LOTES 79,81 E 83;TAGUATINGA;72135-010;DIESEL;04/07/2017;3,479;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;SAN REMI POSTO SERVICOS LTDA; 37.158.938/0001-44;AVENIDA CENTRAL PLL 06;S/N;;NUCLEO BANDEIRANTE;71715-056;GASOLINA;04/07/2017;3,479;3,0984;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;SAN REMI POSTO SERVICOS LTDA; 37.158.938/0001-44;AVENIDA CENTRAL PLL 06;S/N;;NUCLEO BANDEIRANTE;71715-056;ETANOL;04/07/2017;3,199;2,6346;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;SAN REMI POSTO SERVICOS LTDA; 37.158.938/0001-44;AVENIDA CENTRAL PLL 06;S/N;;NUCLEO BANDEIRANTE;71715-056;DIESEL;04/07/2017;3,239;2,7135;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;SAN REMI POSTO SERVICOS LTDA; 37.158.938/0001-44;AVENIDA CENTRAL PLL 06;S/N;;NUCLEO BANDEIRANTE;71715-056;DIESEL S10;04/07/2017;3,339;2,9769;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AUTO POSTO JK LTDA; 03.482.208/0001-82;SETOR SHC/SUL SQ 411 BLOCO B PLL S/N;S/N;ASA SUL;ASA SUL;70310-500;GASOLINA;04/07/2017;3,599;2,989;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO JK LTDA; 03.482.208/0001-82;SETOR SHC/SUL SQ 411 BLOCO B PLL S/N;S/N;ASA SUL;ASA SUL;70310-500;ETANOL;04/07/2017;3,299;3,056;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO JK LTDA; 03.482.208/0001-82;SETOR SHC/SUL SQ 411 BLOCO B PLL S/N;S/N;ASA SUL;ASA SUL;70310-500;DIESEL S10;04/07/2017;3,559;3,0896;R$ / litro;RAIZEN
CO;DF;BRASILIA;GP COMERCIO DE PETROLEO LTDA EPP; 03.776.075/0001-57;RODOVIA DF 130 NOVO;S/N;KM ZERO ANTIGO KM 24 PROXIMO - COND. VALE DO SOL;PLANALTINA;73301-970;GASOLINA;04/07/2017;3,43;3,0982;R$ / litro;IPIRANGA
CO;DF;BRASILIA;GP COMERCIO DE PETROLEO LTDA EPP; 03.776.075/0001-57;RODOVIA DF 130 NOVO;S/N;KM ZERO ANTIGO KM 24 PROXIMO - COND. VALE DO SOL;PLANALTINA;73301-970;ETANOL;04/07/2017;3,08;2,748;R$ / litro;IPIRANGA
CO;DF;BRASILIA;GP COMERCIO DE PETROLEO LTDA EPP; 03.776.075/0001-57;RODOVIA DF 130 NOVO;S/N;KM ZERO ANTIGO KM 24 PROXIMO - COND. VALE DO SOL;PLANALTINA;73301-970;DIESEL;04/07/2017;3,28;2,8043;R$ / litro;IPIRANGA
CO;DF;BRASILIA;POSTO PARK TAGUATINGA DERIVADOS DE PETROLEO LTDA; 01.624.992/0001-90;QI 04 LOTES 41/42;S/N;;TAGUATINGA;72135-040;GASOLINA;04/07/2017;3,59;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO PARK TAGUATINGA DERIVADOS DE PETROLEO LTDA; 01.624.992/0001-90;QI 04 LOTES 41/42;S/N;;TAGUATINGA;72135-040;ETANOL;04/07/2017;2,88;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO PARK TAGUATINGA DERIVADOS DE PETROLEO LTDA; 01.624.992/0001-90;QI 04 LOTES 41/42;S/N;;TAGUATINGA;72135-040;DIESEL;04/07/2017;2,868;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO PARK TAGUATINGA DERIVADOS DE PETROLEO LTDA; 01.624.992/0001-90;QI 04 LOTES 41/42;S/N;;TAGUATINGA;72135-040;DIESEL S10;04/07/2017;3,28;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;EUROGAS - POSTOS DE SERVICOS LTDA.; 03.648.818/0001-03;QUADRA QS 9 RUA 123;S/N;LOTE  06 08 10 12 E 14;AREAL (AGUAS CLARAS);71977-720;GASOLINA;04/07/2017;3,089;;R$ / litro;BRANCA
CO;DF;BRASILIA;EUROGAS - POSTOS DE SERVICOS LTDA.; 03.648.818/0001-03;QUADRA QS 9 RUA 123;S/N;LOTE  06 08 10 12 E 14;AREAL (AGUAS CLARAS);71977-720;ETANOL;04/07/2017;3,249;;R$ / litro;BRANCA
CO;DF;BRASILIA;EUROGAS - POSTOS DE SERVICOS LTDA.; 03.648.818/0001-03;QUADRA QS 9 RUA 123;S/N;LOTE  06 08 10 12 E 14;AREAL (AGUAS CLARAS);71977-720;DIESEL;04/07/2017;3,479;;R$ / litro;BRANCA
CO;DF;BRASILIA;AUTO POSTO SAO MARCOS LTDA; 72.587.132/0001-72;SPMS-SETOR DE POSTOS E MOTÉIS SUL CONJUNTO 02;S/N;RODOVIA BRASILIA/ANAPOLIS;NÚCLEO BANDEIRANTES;71735-000;GASOLINA;04/07/2017;3,59;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO SAO MARCOS LTDA; 72.587.132/0001-72;SPMS-SETOR DE POSTOS E MOTÉIS SUL CONJUNTO 02;S/N;RODOVIA BRASILIA/ANAPOLIS;NÚCLEO BANDEIRANTES;71735-000;ETANOL;04/07/2017;3,24;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO SAO MARCOS LTDA; 72.587.132/0001-72;SPMS-SETOR DE POSTOS E MOTÉIS SUL CONJUNTO 02;S/N;RODOVIA BRASILIA/ANAPOLIS;NÚCLEO BANDEIRANTES;71735-000;DIESEL S10;04/07/2017;3,43;;R$ / litro;RAIZEN
CO;DF;BRASILIA;PLAYTIME COMBUSTIVEIS E LUBRIFICANTES S/A; 26.464.289/0001-93;QUADRA CSG 16;S/N;LOTE  1                   BLOCO 3;TAGUATINGA SUL (TAGUATINGA);72035-516;GASOLINA;04/07/2017;3,49;3,11;R$ / litro;RAIZEN
CO;DF;BRASILIA;PLAYTIME COMBUSTIVEIS E LUBRIFICANTES S/A; 26.464.289/0001-93;QUADRA CSG 16;S/N;LOTE  1                   BLOCO 3;TAGUATINGA SUL (TAGUATINGA);72035-516;ETANOL;04/07/2017;2,99;;R$ / litro;RAIZEN
